x,u,v
0,0,0
0.01,0.104528463267653,0
0.02,0.207911690817759,0
0.03,0.309016994374947,0
0.04,0.4067366430758,0
0.05,0.5,0
0.06,0.587785252292473,0
0.07,0.669130606358858,0
0.08,0.743144825477394,0
0.09,0.809016994374948,0
0.1,0.866025403784439,0
0.11,0.913545457642601,0
0.12,0.951056516295154,0
0.13,0.978147600733806,0
0.14,0.994521895368273,0
0.15,1,0
0.16,0.994521895368273,0
0.17,0.978147600733806,0
0.18,0.951056516295154,0
0.19,0.913545457642601,0
0.2,0.866025403784439,0
0.21,0.809016994374948,0
0.22,0.743144825477394,0
0.23,0.669130606358858,0
0.24,0.587785252292473,0
0.25,0.5,0
0.26,0.4067366430758,0
0.27,0.309016994374947,0
0.28,0.207911690817759,0
0.29,0.104528463267654,0
0.3,1.22464679914735E-16,0
